qc_id,objectid,registro_n,caverna,grau_de_re,uf,municipio,localidade,latitude,longitude,altitude,gps,errogps,qtd__satel,litotipo,desenvolvi,projeção,desnivel_f,icon_url
"1997","1998",017492.00002.29.30204,PEA-0648, ,BA,Sento Sé,Gruna,-10.660743,-41.515871,"1041",Garmin GPSMap 64s,"4","12", , , , ,
"1998","1999",017493.00003.29.30204,PEA-0649, ,BA,Sento Sé,Gruna,-10.657799,-41.516475,"1128",Garmin GPSMap 64s,"4","12", , , , ,
"1999","2000",017494.00004.29.30204,PEA-0650, ,BA,Sento Sé,Gruna,-10.652266,-41.513396,"910",Garmin GPSMap 64s,"4","12", , , , ,
"2000","2001",017495.00005.29.30204,PEA-0652, ,BA,Sento Sé,Gruna,-10.65635,-41.516572,"829",Garmin GPSMap 64s,"4","12", , , , ,
"2001","2002",017496.00006.29.30204,PEA-0653, ,BA,Sento Sé,Gruna,-10.657341,-41.516804,"1044",Garmin GPSMap 64s,"4","12", , , , ,
"2002","2003",017497.00007.29.30204,PEA-0654, ,BA,Sento Sé,Gruna,-10.652278,-41.513344,"963",Garmin GPSMap 64s,"4","12", , , , ,
"2003","2004",017498.00008.29.30204,PEA-0657, ,BA,Sento Sé,Gruna,-10.656078,-41.515456,"927",Garmin GPSMap 64s,"4","12", , , , ,
"2004","2005",017499.00009.29.30204,Toca do Finado Germano, ,BA,Sento Sé,Saco da Serra,-10.632706,-41.625784,"942",GPSMap 64s,"4","12", , , , ,
"2005","2006",017502.00004.29.11709,PEA-0434, ,BA,Guanambi,Rio dos Brindes,-14.125752,-42.705554,"788",Garmin GPSMap 60csx,"6","10", , , , ,
"2006","2007",017503.00005.29.11709,PEA-0437, ,BA,Guanambi,Rio dos Brindes,-14.145843,-42.690204,"708",Garmin GPSMAP 60Csx,"6","10", , , , ,
"2007","2008",017504.00327.51.07040,PEA-0440, ,MT,Primavera do Leste,Rio Culuene,-14.609645,-53.973331,"553",Gramin GPSMap 60csx,"6","12", , , , ,
"2008","2009",017505.00328.51.07040,PEA-0441, ,MT,Primavera do Leste,Rio Culuene,-14.613514,-54.004692,"542",Garmin GPSMap 60csx,"8","10", , , , ,
"2009","2010",017506.00329.51.07040,PEA-0443, ,MT,Primavera do Leste,Rio Culuene,-14.611,-53.984448,"535",Garmin GPSMap 60csx,"8","10", , , , ,
"2010","2011",017508.00001.51.08352,Gruta das Onças, ,MT,Vale de São Domingos,Cabeceira do Ribeirão Moleques,-14.996771,-58.949228,"533",Garmin Map 60,"5","4", ,"167","116","13",
"2011","2012",017509.02950.31.47006,Ambrosia 3, ,MG,Paracatu,Ambrósia,-17.139796,-46.773541,"570",WGS 84,"7","7", , , , ,
"2012","2013",017510.02951.31.47006,Ambrósia 4, ,MG,Paracatu,Ambrósia,-17.144536,-46.78909,"580",WGS 84,"7","7","Anfibolito, Gnaisse, MetaCalcario, Xisto", , , ,
"2013","2014",017511.02952.31.47006,Ambrosia 1, ,MG,Paracatu,Ambrósia,-17.147846,-46.770112,"580",WGS 84,"7","7", , , , ,
"2017","2018",017515.06988.31.10004,CBA-0003, ,MG,Caeté,Serra de Sabará,-19.828956,-43.714634,"1156",Garmin Oregon 550,"5","9", , , , ,
"2018","2019",017521.06945.31.56700,CBA-0002, ,MG,Sabará,Cuiabá,-19.874142,-43.765918,"840",Garmin Oregon 550,"7","8", , , , ,
"2019","2020",017522.06989.31.10004,CBA-0004, ,MG,Caeté,Serra de Sabará,-19.828514,-43.713415,"1166",Garmin Oregon 550,"5","10", , , , ,
"2020","2021",017523.06946.31.56700,CBA-0005, ,MG,Sabará,Cuiabá,-19.832669,-43.722108,"1122",Garmin Oregon 550,"5","9", , , , ,
"2021","2022",017524.06947.31.56700,CBA-0006, ,MG,Sabará,Cuiabá,-19.833475,-43.72361,"1101",Garmin Oregon 550,"4","9", , , , ,
"2022","2023",017525.06990.31.10004,CBA-0007, ,MG,Caeté,Serra de Sabará,-19.824109,-43.705268,"1398",Garmin Oregon 550,"3","12", , , , ,
"2023","2024",017526.06991.31.10004,CBA-0008, ,MG,Caeté,Serra de Sabará,-19.824095,-43.705794,"1400",Garmin Oregon 550,"3","12", , , , ,
"2024","2025",017527.06992.31.10004,CBA-0009, ,MG,Caeté,Serra de Sabará,-19.824165,-43.705507,"1393",Garmin Oregon 550,"3","12", , , , ,
"2025","2026",017528.06993.31.10004,CBA-0010, ,MG,Caeté,Serra de Sabará,-19.83094,-43.715276,"1109",Garmin Oregon 550,"3","10", , , , ,
"2026","2027",017529.06994.31.10004,CBA-0011, ,MG,Caeté,Serra de Sabará,-19.830877,-43.715372,"1117",Garmin Oregon 550,"7","9", , , , ,
"2027","2028",017530.06995.31.10004,CBA-0012, ,MG,Caeté,Serra de Sabará,-19.830923,-43.715553,"1102",Garmin Oregon 550,"3","11", , , , ,
"2028","2029",017531.06996.31.10004,CBA-0013, ,MG,Caeté,Serra de Sabará,-19.828691,-43.711638,"1149",Garmin Oregon 550,"4","9", , , , ,
"2029","2030",017532.06997.31.10004,CBA-0014, ,MG,Caeté,Serra de Sabará,-19.828591,-43.711562,"1155",Garmin Oregon 550,"3","12", , , , ,
"2030","2031",017533.06948.31.56700,CBB-0002, ,MG,Sabará,Cuiabá,-19.85807,-43.749302,"789",Garmin etrex 20,"8","9", , , , ,
"2031","2032",017534.06949.31.56700,CBB-0004, ,MG,Sabará,Cuiabá,-19.855214,-43.732613,"796",Garmin etrex 20,"5","9", , , , ,
"2032","2033",017535.06950.31.56700,CBB-0005, ,MG,Sabará,Cuiabá,-19.864642,-43.765409,"763",Garmin etrex 20,"6","10", , , , ,
"2033","2034",017536.06998.31.10004,CBB-0006, ,MG,Caeté,Serra de Sabará,-19.829639,-43.715373,"1196",Garmin etrex 20,"5","10", , , , ,
"2034","2035",017537.06999.31.10004,CBB-0007, ,MG,Caeté,Serra de Sabará,-19.829638,-43.715163,"1180",Garmin etrex 20,"4","11", , , , ,
"2035","2036",017538.07000.31.10004,CBB-0008, ,MG,Caeté,Serra de Sabará,-19.829663,-43.714952,"1176",Garmin etrex 20,"4","10", , , , ,
"2036","2037",017539.07001.31.10004,CBB-0009, ,MG,Caeté,Serra de Sabará,-19.830471,-43.716741,"1158",Garmin etrex 20,"3","12", , , , ,
"2037","2038",017540.06951.31.56700,CBB-0010, ,MG,Sabará,Cuiabá,-19.831026,-43.719754,"1209",Garmin etrex 20,"4","9", , , , ,
"2038","2039",017541.06952.31.56700,CBB-0011, ,MG,Sabará,Cuiabá,-19.835105,-43.731761,"1158",Garmin etrex 20,"4","10", , , , ,
"2039","2040",017542.06953.31.56700,CBB-0012, ,MG,Sabará,Cuiabá,-19.839256,-43.736092,"1029",Garmin etrex 20,"4","10", , , , ,
"2040","2041",017543.06954.31.56700,CBB-0013, ,MG,Sabará,Cuiabá,-19.842716,-43.734727,"975",Garmin etrex 20,"5","9", , , , ,
"2041","2042",017544.07002.31.10004,CBB-0014, ,MG,Caeté,Serra de Sabará,-19.830738,-43.716128,"1135",Garmin etrex 20,"4","9", , , , ,
"2042","2043",017545.07003.31.10004,CBB-0015, ,MG,Caeté,Serra de Sabará,-19.830708,-43.715737,"1134",Garmin etrex 20,"4","10", , , , ,
"2043","2044",017546.07004.31.10004,CBB-0016, ,MG,Caeté,Serra de Sabará,-19.828861,-43.711465,"1127",Garmin etrex 20,"3","12", , , , ,
"2044","2045",017547.07005.31.10004,CBB-0017, ,MG,Caeté,Serra de Sabará,-19.828819,-43.710672,"1146",Garmin etrex 20,"3","11", , , , ,
"2045","2046",017548.07006.31.10004,CBX-0001, ,MG,Caeté,Serra de Sabará,-19.830875,-43.715057,"1119",Garmin Oregon 550,"3","9", , , , ,
"2046","2047",017549.00001.35.37107,Gruta do Opilião Ametista, ,SP,Pedreira,Jd. Náutico Represa,-22.82015,-46.863842,"699",Garmin,"5","4", , , , ,
"2047","2048",017550.00001.26.07653,PEA-0449, ,PE,Itambé,Ferrugem,-7.462557,-35.019981,"114",Garmin GPSMap 64s,"3","12", , , , ,
"2048","2049",017551.00002.26.07653,PEA-0480, ,PE,Itambé,Ferrugem,-7.462881,-35.020354,"114",Garmin GPSMap 64s,"3","12", , , , ,
"2049","2050",017552.00003.26.07653,PEA-0481, ,PE,Itambé,Ferrugem,-7.462709,-35.02038,"115",Garmin GPSMap 64s,"3","12", , , , ,
"2050","2051",017553.00001.31.13008,Lapa do Córrego do Veado (do Vieira), ,MG,Caraí,Vieira,-17.151839,-41.504894,"575",Garmin GPSMap 62Csx,"6","10", , , , ,
"2051","2052",017554.00002.31.13008,PEA-0592, ,MG,Caraí,Ponto do Marambaia,-17.198509,-41.490251,"608",Garmin GPSMap 60Csx,"6","10", , , , ,
"2052","2053",017555.00003.31.13008,PEA-0594, ,MG,Caraí,Vieira,-17.151107,-41.504208,"594",Garmin GPSMap 60Csx,"6","10", , , , ,
"2053","2054",017556.00754.29.32457,Toca do Gracindo (ou da Fazenda Verdadeira), ,BA,Umburanas,Alagadiço,-10.662855,-41.340336,"800",Garmin GPSMap 64s,"3","12", , , , ,
"2054","2055",017557.06772.31.44805,PBR-24, ,MG,Nova Lima,Serra da Moeda,-20.155447,-43.972523,"1470",Garmin 62 csx,"4","4", , , , ,
"2055","2056",017558.06773.31.44805,PBR-01, ,MG,Nova Lima,Serra da Moeda,-20.159802,-43.969413,"1410",Garmin 62 csx,"4","4", , , , ,
"2056","2057",017559.06774.31.44805,PBR-02, ,MG,Nova Lima,Serra da Moeda,-20.159739,-43.969538,"1416",Garmin 62 csx,"4","4", , , , ,
"2057","2058",017560.06775.31.44805,PBR-03, ,MG,Nova Lima,Serra da Moeda,-20.159676,-43.969558,"1419",Garmin csx,"4","4", , , , ,
"2058","2059",017561.06776.31.44805,PBR-04-05, ,MG,Nova Lima,Serra da Moeda,-20.159677,-43.969749,"1419",Garmin csx,"4","4", , , , ,
"2059","2060",017562.06777.31.44805,PBR-06, ,MG,Nova Lima,Serra da Moeda,-20.159488,-43.96976,"1425",Garmin 62 csx,"4","4", , , , ,
"2060","2061",017563.06778.31.44805,PBR-08, ,MG,Nova Lima,Serra da Moeda,-20.156316,-43.972785,"1502",Garmin 62 csx,"4","4", , , , ,
